"region","markanvändningsklass","X2015"
"Nynäshamn","skogsmark, produktiv",18031
"Nynäshamn","skogsmark, improduktiv",3418
"Nynäshamn","total skogsmark",21449
"Nynäshamn","bebyggd mark och tillhörande mark",3157
"Nynäshamn","täkter och gruvområden",79
"Nynäshamn","golfbanor och skidpistar",76
"Nynäshamn","vatten",676
"Nynäshamn","övrig mark",5425
"Nynäshamn","total landareal",35875
"Håbo","åkermark",3848
"Håbo","betesmark",197
"Håbo","skogsmark, produktiv",6994
"Håbo","skogsmark, improduktiv",560
"Håbo","total skogsmark",7554
"Håbo","bebyggd mark och tillhörande mark",1608
"Håbo","täkter och gruvområden",100
"Håbo","golfbanor och skidpistar",3
"Håbo","vatten",4292
"Håbo","övrig mark",1045
"Håbo","total landareal",14355
"Älvkarleby","åkermark",296
"Älvkarleby","betesmark",71
"Älvkarleby","skogsmark, produktiv",16315
"Älvkarleby","skogsmark, improduktiv",1306
"Älvkarleby","total skogsmark",17621
"Älvkarleby","bebyggd mark och tillhörande mark",1348
"Älvkarleby","täkter och gruvområden",63
"Älvkarleby","golfbanor och skidpistar",53
"Älvkarleby","vatten",2029
"Älvkarleby","övrig mark",2072
"Älvkarleby","total landareal",21524
"Knivsta","åkermark",6947
"Knivsta","betesmark",986
"Knivsta","skogsmark, produktiv",15534
"Knivsta","skogsmark, improduktiv",1244
"Knivsta","total skogsmark",16778
"Knivsta","bebyggd mark och tillhörande mark",1789
"Knivsta","täkter och gruvområden",50
"Knivsta","golfbanor och skidpistar",155
"Knivsta","vatten",1298
"Knivsta","övrig mark",1507
"Knivsta","total landareal",28213
"Heby","åkermark",19135
"Heby","betesmark",1004
"Heby","skogsmark, produktiv",77876
"Heby","skogsmark, improduktiv",6236
"Heby","total skogsmark",84112
"Heby","bebyggd mark och tillhörande mark",3843
"Heby","täkter och gruvområden",541
"Heby","golfbanor och skidpistar",24
"Heby","vatten",5868
"Heby","övrig mark",8031
"Heby","total landareal",116690
"Tierp","åkermark",19426
"Tierp","betesmark",2015
"Tierp","skogsmark, produktiv",106573
"Tierp","skogsmark, improduktiv",8534
"Tierp","total skogsmark",115106
"Tierp","bebyggd mark och tillhörande mark",5553
"Tierp","täkter och gruvområden",362
"Tierp","golfbanor och skidpistar",72
"Tierp","vatten",5813
"Tierp","övrig mark",12099
"Tierp","total landareal",154633
"Uppsala","åkermark",48307
"Uppsala","betesmark",5244
"Uppsala","skogsmark, produktiv",127399
"Uppsala","skogsmark, improduktiv",10202
"Uppsala","total skogsmark",137600
"Uppsala","bebyggd mark och tillhörande mark",13119
"Uppsala","täkter och gruvområden",254
"Uppsala","golfbanor och skidpistar",599
"Uppsala","vatten",5203
"Uppsala","övrig mark",13118
"Uppsala","total landareal",218241
"Enköping","åkermark",50921
"Enköping","betesmark",2964
"Enköping","skogsmark, produktiv",47010
"Enköping","skogsmark, improduktiv",3764
"Enköping","total skogsmark",50774
"Enköping","bebyggd mark och tillhörande mark",6113
"Enköping","täkter och gruvområden",114
"Enköping","golfbanor och skidpistar",110
"Enköping","vatten",14547
"Enköping","övrig mark",6839
"Enköping","total landareal",117835
"Östhammar","åkermark",15769
"Östhammar","betesmark",4297
"Östhammar","skogsmark, produktiv",102265
"Östhammar","skogsmark, improduktiv",8189
"Östhammar","total skogsmark",110454
"Östhammar","bebyggd mark och tillhörande mark",6452
"Östhammar","täkter och gruvområden",242
"Östhammar","golfbanor och skidpistar",100
"Östhammar","vatten",2806
"Östhammar","övrig mark",10148
"Östhammar","total landareal",147461
"Vingåker","åkermark",7968
"Vingåker","betesmark",634
"Vingåker","skogsmark, produktiv",21592
"Vingåker","skogsmark, improduktiv",2507
"Vingåker","total skogsmark",24099
"Vingåker","bebyggd mark och tillhörande mark",1982
"Vingåker","täkter och gruvområden",163
"Vingåker","golfbanor och skidpistar",42
"Vingåker","vatten",6913
"Vingåker","övrig mark",2145
"Vingåker","total landareal",37032
"Gnesta","åkermark",7927
"Gnesta","betesmark",1376
"Gnesta","skogsmark, produktiv",27926
"Gnesta","skogsmark, improduktiv",3243
"Gnesta","total skogsmark",31169
"Gnesta","bebyggd mark och tillhörande mark",2168
"Gnesta","täkter och gruvområden",9
"Gnesta","golfbanor och skidpistar",49
"Gnesta","vatten",7703
"Gnesta","övrig mark",3413
"Gnesta","total landareal",46111
"Nyköping","åkermark",29481
"Nyköping","betesmark",3671
"Nyköping","skogsmark, produktiv",81633
"Nyköping","skogsmark, improduktiv",9480
"Nyköping","total skogsmark",91113
"Nyköping","bebyggd mark och tillhörande mark",7379
"Nyköping","täkter och gruvområden",129
"Nyköping","golfbanor och skidpistar",295
"Nyköping","vatten",13393
"Nyköping","övrig mark",9979
"Nyköping","total landareal",142046
"Oxelösund","åkermark",212
"Oxelösund","betesmark",26
"Oxelösund","skogsmark, produktiv",1636
"Oxelösund","skogsmark, improduktiv",190
"Oxelösund","total skogsmark",1826
"Oxelösund","bebyggd mark och tillhörande mark",1006
"Oxelösund","täkter och gruvområden",0
"Oxelösund","golfbanor och skidpistar",0
"Oxelösund","vatten",16
"Oxelösund","övrig mark",472
"Oxelösund","total landareal",3543
"Flen","åkermark",13930
"Flen","betesmark",3061
"Flen","skogsmark, produktiv",41941
"Flen","skogsmark, improduktiv",4871
"Flen","total skogsmark",46812
"Flen","bebyggd mark och tillhörande mark",3609
"Flen","täkter och gruvområden",68
"Flen","golfbanor och skidpistar",42
"Flen","vatten",10755
"Flen","övrig mark",4327
"Flen","total landareal",71849
"Katrineholm","åkermark",19827
"Katrineholm","betesmark",2941
"Katrineholm","skogsmark, produktiv",59929
"Katrineholm","skogsmark, improduktiv",6959
"Katrineholm","total skogsmark",66889
"Katrineholm","bebyggd mark och tillhörande mark",4678
"Katrineholm","täkter och gruvområden",120
"Katrineholm","golfbanor och skidpistar",81
"Katrineholm","vatten",16938
"Katrineholm","övrig mark",7480
"Katrineholm","total landareal",102016
"Eskilstuna","åkermark",27017
"Eskilstuna","betesmark",3143
"Eskilstuna","skogsmark, produktiv",56873
"Eskilstuna","skogsmark, improduktiv",6605
"Eskilstuna","total skogsmark",63478
"Eskilstuna","bebyggd mark och tillhörande mark",8235
"Eskilstuna","täkter och gruvområden",159
"Eskilstuna","golfbanor och skidpistar",317
"Eskilstuna","vatten",15060
"Eskilstuna","övrig mark",7641
"Eskilstuna","total landareal",109989
"Strängnäs","åkermark",15552
"Strängnäs","betesmark",1377
"Strängnäs","skogsmark, produktiv",41234
"Strängnäs","skogsmark, improduktiv",4788
"Strängnäs","total skogsmark",46023
"Strängnäs","bebyggd mark och tillhörande mark",4578
"Strängnäs","täkter och gruvområden",104
"Strängnäs","golfbanor och skidpistar",258
"Strängnäs","vatten",23567
"Strängnäs","övrig mark",6052
"Strängnäs","total landareal",73942
"Trosa","åkermark",3498
"Trosa","betesmark",677
"Trosa","skogsmark, produktiv",12178
"Trosa","skogsmark, improduktiv",1414
"Trosa","total skogsmark",13592
"Trosa","bebyggd mark och tillhörande mark",1724
"Trosa","täkter och gruvområden",41
"Trosa","golfbanor och skidpistar",116
"Trosa","vatten",762
"Trosa","övrig mark",1331
"Trosa","total landareal",20979
"Ödeshög","åkermark",8955
"Ödeshög","betesmark",2795
"Ödeshög","skogsmark, produktiv",23338
"Ödeshög","skogsmark, improduktiv",2552
"Ödeshög","total skogsmark",25890
"Ödeshög","bebyggd mark och tillhörande mark",1891
"Ödeshög","täkter och gruvområden",195
"Ödeshög","golfbanor och skidpistar",66
"Ödeshög","vatten",23502
"Ödeshög","övrig mark",3606
"Ödeshög","total landareal",43397
"Ydre","åkermark",3506
"Ydre","betesmark",3703
"Ydre","skogsmark, produktiv",47876
"Ydre","skogsmark, improduktiv",5235
"Ydre","total skogsmark",53111
"Ydre","bebyggd mark och tillhörande mark",2069
"Ydre","täkter och gruvområden",14
"Ydre","golfbanor och skidpistar",3
"Ydre","vatten",10323
"Ydre","övrig mark",5132
"Ydre","total landareal",67539
"Kinda","åkermark",8439
"Kinda","betesmark",4705
"Kinda","skogsmark, produktiv",79025
"Kinda","skogsmark, improduktiv",8642
"Kinda","total skogsmark",87667
"Kinda","bebyggd mark och tillhörande mark",3628
"Kinda","täkter och gruvområden",36
"Kinda","golfbanor och skidpistar",56
"Kinda","vatten",17256
"Kinda","övrig mark",8409
"Kinda","total landareal",112940
"Boxholm","åkermark",3314
"Boxholm","betesmark",2135
"Boxholm","skogsmark, produktiv",36772
"Boxholm","skogsmark, improduktiv",4021
"Boxholm","total skogsmark",40793
"Boxholm","bebyggd mark och tillhörande mark",1762
"Boxholm","täkter och gruvområden",57
"Boxholm","golfbanor och skidpistar",5
"Boxholm","vatten",7813
"Boxholm","övrig mark",4509
"Boxholm","total landareal",52574
"Åtvidaberg","åkermark",6457
"Åtvidaberg","betesmark",2618
"Åtvidaberg","skogsmark, produktiv",46202
"Åtvidaberg","skogsmark, improduktiv",5052
"Åtvidaberg","total skogsmark",51254
"Åtvidaberg","bebyggd mark och tillhörande mark",2419
"Åtvidaberg","täkter och gruvområden",57
"Åtvidaberg","golfbanor och skidpistar",72
"Åtvidaberg","vatten",9368
"Åtvidaberg","övrig mark",5783
"Åtvidaberg","total landareal",68660
"Finspång","åkermark",7660
"Finspång","betesmark",1628
"Finspång","skogsmark, produktiv",72808
"Finspång","skogsmark, improduktiv",7962
"Finspång","total skogsmark",80770
"Finspång","bebyggd mark och tillhörande mark",3682
"Finspång","täkter och gruvområden",75
