"Municipality","SchoolOrganiser","Gender","Students","value"
"Forshaga","Kommunal","Samtliga","Eligible",119.97
"Forshaga","Kommunal","Samtliga","Ineligible",35.03
"Färgelanda","Samtliga","Samtliga","Total",60
"Färgelanda","Samtliga","Samtliga","Eligible",43.98
"Färgelanda","Samtliga","Samtliga","Ineligible",16.02
"Färgelanda","Kommunal","Samtliga","Total",60
"Färgelanda","Kommunal","Samtliga","Eligible",43.98
"Färgelanda","Kommunal","Samtliga","Ineligible",16.02
"Gagnef","Samtliga","Samtliga","Total",127
"Gagnef","Samtliga","Samtliga","Eligible",114.046
"Gagnef","Samtliga","Samtliga","Ineligible",12.954
"Gagnef","Kommunal","Samtliga","Total",127
"Gagnef","Kommunal","Samtliga","Eligible",114.046
"Gagnef","Kommunal","Samtliga","Ineligible",12.954
"Gislaved","Samtliga","Samtliga","Total",395
"Gislaved","Samtliga","Samtliga","Eligible",302.965
"Gislaved","Samtliga","Samtliga","Ineligible",92.035
"Gislaved","Kommunal","Samtliga","Total",385
"Gislaved","Kommunal","Samtliga","Eligible",294.14
"Gislaved","Kommunal","Samtliga","Ineligible",90.86
"Gislaved","Enskild","Samtliga","Total",10
"Gislaved","Enskild","Samtliga","Eligible",10
"Gislaved","Enskild","Samtliga","Ineligible",0
"Gnesta","Samtliga","Samtliga","Total",135
"Gnesta","Samtliga","Samtliga","Eligible",112.995
"Gnesta","Samtliga","Samtliga","Ineligible",22.005
"Gnesta","Kommunal","Samtliga","Total",128
"Gnesta","Kommunal","Samtliga","Eligible",105.984
"Gnesta","Kommunal","Samtliga","Ineligible",22.016
"Gnesta","Enskild","Samtliga","Total",0
"Gnesta","Enskild","Samtliga","Eligible",0
"Gnesta","Enskild","Samtliga","Ineligible",0
"Gnosjö","Samtliga","Samtliga","Total",120
"Gnosjö","Samtliga","Samtliga","Eligible",87.96
"Gnosjö","Samtliga","Samtliga","Ineligible",32.04
"Gnosjö","Kommunal","Samtliga","Total",120
"Gnosjö","Kommunal","Samtliga","Eligible",87.96
"Gnosjö","Kommunal","Samtliga","Ineligible",32.04
"Gotland","Samtliga","Samtliga","Total",611
"Gotland","Samtliga","Samtliga","Eligible",519.961
"Gotland","Samtliga","Samtliga","Ineligible",91.039
"Gotland","Kommunal","Samtliga","Total",523
"Gotland","Kommunal","Samtliga","Eligible",437.751
"Gotland","Kommunal","Samtliga","Ineligible",85.249
"Gotland","Enskild","Samtliga","Total",88
"Gotland","Enskild","Samtliga","Eligible",88
"Gotland","Enskild","Samtliga","Ineligible",0
"Grums","Samtliga","Samtliga","Total",78
"Grums","Samtliga","Samtliga","Eligible",58.968
"Grums","Samtliga","Samtliga","Ineligible",19.032
"Grums","Kommunal","Samtliga","Total",78
"Grums","Kommunal","Samtliga","Eligible",58.968
"Grums","Kommunal","Samtliga","Ineligible",19.032
"Grästorp","Samtliga","Samtliga","Total",62
"Grästorp","Samtliga","Samtliga","Eligible",62
"Grästorp","Samtliga","Samtliga","Ineligible",0
"Grästorp","Kommunal","Samtliga","Total",62
"Grästorp","Kommunal","Samtliga","Eligible",62
"Grästorp","Kommunal","Samtliga","Ineligible",0
"Gullspång","Samtliga","Samtliga","Total",68
"Gullspång","Samtliga","Samtliga","Eligible",55.012
"Gullspång","Samtliga","Samtliga","Ineligible",12.988
"Gullspång","Kommunal","Samtliga","Total",68
"Gullspång","Kommunal","Samtliga","Eligible",55.012
