"region","hushållsstorlek","X2019"
"Tierp","uppgift saknas",26
"Uppsala","1 person",45462
"Uppsala","2 personer",61516
"Uppsala","3 personer",36735
"Uppsala","4 personer",47872
"Uppsala","5 personer",23185
"Uppsala","6 personer",8220
"Uppsala","7+ personer",7428
"Uppsala","uppgift saknas",349
"Enköping","1 person",7371
"Enköping","2 personer",12792
"Enköping","3 personer",7434
"Enköping","4 personer",9760
"Enköping","5 personer",4410
"Enköping","6 personer",1764
"Enköping","7+ personer",1677
"Enköping","uppgift saknas",79
"Östhammar","1 person",4213
"Östhammar","2 personer",7276
"Östhammar","3 personer",3408
"Östhammar","4 personer",4036
"Östhammar","5 personer",2085
"Östhammar","6 personer",708
"Östhammar","7+ personer",507
"Östhammar","uppgift saknas",17
"Vingåker","1 person",1539
"Vingåker","2 personer",2920
"Vingåker","3 personer",1467
"Vingåker","4 personer",1620
"Vingåker","5 personer",875
"Vingåker","6 personer",300
"Vingåker","7+ personer",384
"Vingåker","uppgift saknas",6
"Gnesta","1 person",1875
"Gnesta","2 personer",3348
"Gnesta","3 personer",1743
"Gnesta","4 personer",2280
"Gnesta","5 personer",1255
"Gnesta","6 personer",444
"Gnesta","7+ personer",399
"Gnesta","uppgift saknas",21
"Nyköping","1 person",10561
"Nyköping","2 personer",17184
"Nyköping","3 personer",8340
"Nyköping","4 personer",11080
"Nyköping","5 personer",5290
"Nyköping","6 personer",2016
"Nyköping","7+ personer",2048
"Nyköping","uppgift saknas",72
"Oxelösund","1 person",2470
"Oxelösund","2 personer",3876
"Oxelösund","3 personer",1842
"Oxelösund","4 personer",2032
"Oxelösund","5 personer",1090
"Oxelösund","6 personer",390
"Oxelösund","7+ personer",270
"Oxelösund","uppgift saknas",13
"Flen","1 person",3022
"Flen","2 personer",5088
"Flen","3 personer",2361
"Flen","4 personer",2692
"Flen","5 personer",1470
"Flen","6 personer",840
"Flen","7+ personer",1071
"Flen","uppgift saknas",41
"Katrineholm","1 person",6568
"Katrineholm","2 personer",10300
"Katrineholm","3 personer",5187
"Katrineholm","4 personer",6360
"Katrineholm","5 personer",2920
"Katrineholm","6 personer",1404
"Katrineholm","7+ personer",1970
"Katrineholm","uppgift saknas",46
"Eskilstuna","1 person",19762
"Eskilstuna","2 personer",28932
"Eskilstuna","3 personer",17187
"Eskilstuna","4 personer",21456
"Eskilstuna","5 personer",10590
"Eskilstuna","6 personer",4332
"Eskilstuna","7+ personer",4398
"Eskilstuna","uppgift saknas",202
"Strängnäs","1 person",5918
"Strängnäs","2 personer",10586
"Strängnäs","3 personer",5895
"Strängnäs","4 personer",8148
"Strängnäs","5 personer",3575
"Strängnäs","6 personer",1284
"Strängnäs","7+ personer",1080
"Strängnäs","uppgift saknas",58
"Trosa","1 person",2021
"Trosa","2 personer",4226
"Trosa","3 personer",2328
"Trosa","4 personer",3012
"Trosa","5 personer",1395
"Trosa","6 personer",390
"Trosa","7+ personer",364
"Trosa","uppgift saknas",11
"Ödeshög","1 person",970
"Ödeshög","2 personer",1704
"Ödeshög","3 personer",798
"Ödeshög","4 personer",1060
"Ödeshög","5 personer",475
"Ödeshög","6 personer",144
"Ödeshög","7+ personer",183
"Ödeshög","uppgift saknas",3
"Ydre","1 person",639
"Ydre","2 personer",1266
"Ydre","3 personer",537
"Ydre","4 personer",712
"Ydre","5 personer",390
"Ydre","6 personer",96
"Ydre","7+ personer",99
"Ydre","uppgift saknas",8
"Kinda","1 person",1715
"Kinda","2 personer",3208
"Kinda","3 personer",1362
"Kinda","4 personer",2000
"Kinda","5 personer",1035
"Kinda","6 personer",348
"Kinda","7+ personer",258
"Kinda","uppgift saknas",14
"Boxholm","1 person",1037
"Boxholm","2 personer",1872
"Boxholm","3 personer",804
"Boxholm","4 personer",1016
"Boxholm","5 personer",480
"Boxholm","6 personer",168
"Boxholm","7+ personer",98
"Boxholm","uppgift saknas",1
"Åtvidaberg","1 person",1968
"Åtvidaberg","2 personer",3892
"Åtvidaberg","3 personer",1806
"Åtvidaberg","4 personer",2456
"Åtvidaberg","5 personer",925
"Åtvidaberg","6 personer",264
"Åtvidaberg","7+ personer",180
"Åtvidaberg","uppgift saknas",12
"Finspång","1 person",4111
"Finspång","2 personer",6916
"Finspång","3 personer",3399
"Finspång","4 personer",4384
"Finspång","5 personer",1880
"Finspång","6 personer",744
"Finspång","7+ personer",448
"Finspång","uppgift saknas",30
"Valdemarsvik","1 person",1497
"Valdemarsvik","2 personer",2832
"Valdemarsvik","3 personer",1017
"Valdemarsvik","4 personer",1272
"Valdemarsvik","5 personer",690
"Valdemarsvik","6 personer",282
"Valdemarsvik","7+ personer",271
"Valdemarsvik","uppgift saknas",12
"Linköping","1 person",32469
"Linköping","2 personer",45928
"Linköping","3 personer",25077
"Linköping","4 personer",34784
"Linköping","5 personer",14740
"Linköping","6 personer",4716
"Linköping","7+ personer",5131
"Linköping","uppgift saknas",206
"Norrköping","1 person",26687
"Norrköping","2 personer",39956
"Norrköping","3 personer",22884
"Norrköping","4 personer",29400
"Norrköping","5 personer",13600
"Norrköping","6 personer",5448
"Norrköping","7+ personer",4982
"Norrköping","uppgift saknas",214
"Söderköping","1 person",2104
"Söderköping","2 personer",4548
"Söderköping","3 personer",2379
"Söderköping","4 personer",3400
"Söderköping","5 personer",1375
"Söderköping","6 personer",558
"Söderköping","7+ personer",253
"Söderköping","uppgift saknas",9
"Motala","1 person",8041
"Motala","2 personer",13590
"Motala","3 personer",6870
"Motala","4 personer",8680
"Motala","5 personer",4015
"Motala","6 personer",1476
"Motala","7+ personer",949
"Motala","uppgift saknas",52
"Vadstena","1 person",1623
"Vadstena","2 personer",2508
"Vadstena","3 personer",1110
"Vadstena","4 personer",1324
"Vadstena","5 personer",580
"Vadstena","6 personer",162
"Vadstena","7+ personer",119
"Vadstena","uppgift saknas",2
"Mjölby","1 person",4926
"Mjölby","2 personer",8340
"Mjölby","3 personer",4242
"Mjölby","4 personer",6336
"Mjölby","5 personer",2350
"Mjölby","6 personer",786
"Mjölby","7+ personer",752
"Mjölby","uppgift saknas",26
"Aneby","1 person",1044
"Aneby","2 personer",2182
"Aneby","3 personer",990
"Aneby","4 personer",1464
"Aneby","5 personer",735
"Aneby","6 personer",174
"Aneby","7+ personer",256
"Aneby","uppgift saknas",3
"Gnosjö","1 person",1336
"Gnosjö","2 personer",2642
"Gnosjö","3 personer",1614
"Gnosjö","4 personer",2168
"Gnosjö","5 personer",1090
"Gnosjö","6 personer",432
"Gnosjö","7+ personer",419
"Gnosjö","uppgift saknas",11
"Mullsjö","1 person",1132
"Mullsjö","2 personer",2202
"Mullsjö","3 personer",1125
"Mullsjö","4 personer",1508
"Mullsjö","5 personer",855
"Mullsjö","6 personer",276
"Mullsjö","7+ personer",184
