"Kommun","Huvudman","Kön","Behörighet","Antal"
"Enköping","Enskild","Samtliga","Gymnasiebehöriga",10
"Enköping","Enskild","Samtliga","Gymnasieobehöriga",157
"Eskilstuna","Samtliga","Samtliga","Gymnasiebehöriga",257
"Eskilstuna","Samtliga","Samtliga","Gymnasieobehöriga",1017
"Eskilstuna","Kommunal","Samtliga","Gymnasiebehöriga",240
"Eskilstuna","Kommunal","Samtliga","Gymnasieobehöriga",794
"Eskilstuna","Enskild","Samtliga","Gymnasiebehöriga",17
"Eskilstuna","Enskild","Samtliga","Gymnasieobehöriga",223
"Eslöv","Samtliga","Samtliga","Gymnasiebehöriga",64
"Eslöv","Samtliga","Samtliga","Gymnasieobehöriga",323
"Eslöv","Kommunal","Samtliga","Gymnasiebehöriga",64
"Eslöv","Kommunal","Samtliga","Gymnasieobehöriga",323
"Essunga","Samtliga","Samtliga","Gymnasiebehöriga",11
"Essunga","Samtliga","Samtliga","Gymnasieobehöriga",58
"Essunga","Kommunal","Samtliga","Gymnasiebehöriga",11
"Essunga","Kommunal","Samtliga","Gymnasieobehöriga",58
"Fagersta","Samtliga","Samtliga","Gymnasiebehöriga",33
"Fagersta","Samtliga","Samtliga","Gymnasieobehöriga",103
"Fagersta","Kommunal","Samtliga","Gymnasiebehöriga",25
"Fagersta","Kommunal","Samtliga","Gymnasieobehöriga",79
"Fagersta","Enskild","Samtliga","Gymnasiebehöriga",0
"Fagersta","Enskild","Samtliga","Gymnasieobehöriga",32
"Falkenberg","Samtliga","Samtliga","Gymnasiebehöriga",98
"Falkenberg","Samtliga","Samtliga","Gymnasieobehöriga",410
"Falkenberg","Kommunal","Samtliga","Gymnasiebehöriga",95
"Falkenberg","Kommunal","Samtliga","Gymnasieobehöriga",322
"Falkenberg","Enskild","Samtliga","Gymnasiebehöriga",0
"Falkenberg","Enskild","Samtliga","Gymnasieobehöriga",91
"Falköping","Samtliga","Samtliga","Gymnasiebehöriga",89
"Falköping","Samtliga","Samtliga","Gymnasieobehöriga",339
"Falköping","Kommunal","Samtliga","Gymnasiebehöriga",82
"Falköping","Kommunal","Samtliga","Gymnasieobehöriga",327
"Falköping","Enskild","Samtliga","Gymnasiebehöriga",0
"Falköping","Enskild","Samtliga","Gymnasieobehöriga",19
"Falun","Samtliga","Samtliga","Gymnasiebehöriga",94
"Falun","Samtliga","Samtliga","Gymnasieobehöriga",587
"Falun","Kommunal","Samtliga","Gymnasiebehöriga",82
"Falun","Kommunal","Samtliga","Gymnasieobehöriga",419
"Falun","Enskild","Samtliga","Gymnasiebehöriga",12
"Falun","Enskild","Samtliga","Gymnasieobehöriga",168
"Filipstad","Samtliga","Samtliga","Gymnasiebehöriga",16
"Filipstad","Samtliga","Samtliga","Gymnasieobehöriga",118
"Filipstad","Kommunal","Samtliga","Gymnasiebehöriga",16
"Filipstad","Kommunal","Samtliga","Gymnasieobehöriga",118
"Finspång","Samtliga","Samtliga","Gymnasiebehöriga",34
"Finspång","Samtliga","Samtliga","Gymnasieobehöriga",194
"Finspång","Kommunal","Samtliga","Gymnasiebehöriga",34
"Finspång","Kommunal","Samtliga","Gymnasieobehöriga",194
"Flen","Samtliga","Samtliga","Gymnasiebehöriga",51
"Flen","Samtliga","Samtliga","Gymnasieobehöriga",130
"Flen","Kommunal","Samtliga","Gymnasiebehöriga",35
"Flen","Kommunal","Samtliga","Gymnasieobehöriga",81
"Flen","Enskild","Samtliga","Gymnasiebehöriga",16
"Flen","Enskild","Samtliga","Gymnasieobehöriga",49
"Forshaga","Samtliga","Samtliga","Gymnasiebehöriga",35
"Forshaga","Samtliga","Samtliga","Gymnasieobehöriga",120
"Forshaga","Kommunal","Samtliga","Gymnasiebehöriga",35
"Forshaga","Kommunal","Samtliga","Gymnasieobehöriga",120
"Färgelanda","Samtliga","Samtliga","Gymnasiebehöriga",16
"Färgelanda","Samtliga","Samtliga","Gymnasieobehöriga",44
"Färgelanda","Kommunal","Samtliga","Gymnasiebehöriga",16
"Färgelanda","Kommunal","Samtliga","Gymnasieobehöriga",44
"Gagnef","Samtliga","Samtliga","Gymnasiebehöriga",13
"Gagnef","Samtliga","Samtliga","Gymnasieobehöriga",114
"Gagnef","Kommunal","Samtliga","Gymnasiebehöriga",13
"Gagnef","Kommunal","Samtliga","Gymnasieobehöriga",114
"Gislaved","Samtliga","Samtliga","Gymnasiebehöriga",92
"Gislaved","Samtliga","Samtliga","Gymnasieobehöriga",303
"Gislaved","Kommunal","Samtliga","Gymnasiebehöriga",91
"Gislaved","Kommunal","Samtliga","Gymnasieobehöriga",294
"Gislaved","Enskild","Samtliga","Gymnasiebehöriga",0
"Gislaved","Enskild","Samtliga","Gymnasieobehöriga",10
"Gnesta","Samtliga","Samtliga","Gymnasiebehöriga",22
"Gnesta","Samtliga","Samtliga","Gymnasieobehöriga",113
"Gnesta","Kommunal","Samtliga","Gymnasiebehöriga",22
"Gnesta","Kommunal","Samtliga","Gymnasieobehöriga",106
