"region","resultaträkningsposter","X2019"
"Burlöv","skatteintäkter",36534
"Burlöv","generella statsbidrag och utjämning",17969
"Vellinge","skatteintäkter",49638
"Vellinge","generella statsbidrag och utjämning",164
"Östra Göinge","skatteintäkter",37579
"Östra Göinge","generella statsbidrag och utjämning",23106
"Örkelljunga","skatteintäkter",35296
"Örkelljunga","generella statsbidrag och utjämning",17539
"Bjuv","skatteintäkter",39381
"Bjuv","generella statsbidrag och utjämning",16108
"Kävlinge","skatteintäkter",43760
"Kävlinge","generella statsbidrag och utjämning",6506
"Lomma","skatteintäkter",55834
"Lomma","generella statsbidrag och utjämning",237
"Svedala","skatteintäkter",43446
"Svedala","generella statsbidrag och utjämning",10909
"Skurup","skatteintäkter",41690
"Skurup","generella statsbidrag och utjämning",11543
"Sjöbo","skatteintäkter",42011
"Sjöbo","generella statsbidrag och utjämning",13294
"Hörby","skatteintäkter",42243
"Hörby","generella statsbidrag och utjämning",15052
"Höör","skatteintäkter",46082
"Höör","generella statsbidrag och utjämning",11498
"Tomelilla","skatteintäkter",38846
"Tomelilla","generella statsbidrag och utjämning",17045
"Bromölla","skatteintäkter",43451
"Bromölla","generella statsbidrag och utjämning",15098
"Osby","skatteintäkter",44416
"Osby","generella statsbidrag och utjämning",16193
"Perstorp","skatteintäkter",36935
"Perstorp","generella statsbidrag och utjämning",22580
"Klippan","skatteintäkter",39022
"Klippan","generella statsbidrag och utjämning",17566
"Åstorp","skatteintäkter",37146
"Åstorp","generella statsbidrag och utjämning",20003
"Båstad","skatteintäkter",45395
"Båstad","generella statsbidrag och utjämning",8023
"Malmö","skatteintäkter",40696
"Malmö","generella statsbidrag och utjämning",17205
"Lund","skatteintäkter",47358
"Lund","generella statsbidrag och utjämning",5238
"Landskrona","skatteintäkter",38126
"Landskrona","generella statsbidrag och utjämning",17907
"Helsingborg","skatteintäkter",43235
"Helsingborg","generella statsbidrag och utjämning",10746
"Höganäs","skatteintäkter",45656
"Höganäs","generella statsbidrag och utjämning",8367
"Eslöv","skatteintäkter",42173
"Eslöv","generella statsbidrag och utjämning",16047
"Ystad","skatteintäkter",43848
"Ystad","generella statsbidrag och utjämning",9478
"Trelleborg","skatteintäkter",42104
"Trelleborg","generella statsbidrag och utjämning",12460
"Kristianstad","skatteintäkter",44005
"Kristianstad","generella statsbidrag och utjämning",15125
"Simrishamn","skatteintäkter",42437
"Simrishamn","generella statsbidrag och utjämning",14797
"Ängelholm","skatteintäkter",46235
"Ängelholm","generella statsbidrag och utjämning",9279
"Hässleholm","skatteintäkter",41996
"Hässleholm","generella statsbidrag och utjämning",17174
"Hylte","skatteintäkter",41085
"Hylte","generella statsbidrag och utjämning",22620
"Halmstad","skatteintäkter",44473
"Halmstad","generella statsbidrag och utjämning",10741
"Laholm","skatteintäkter",40127
"Laholm","generella statsbidrag och utjämning",15213
"Falkenberg","skatteintäkter",42665
"Falkenberg","generella statsbidrag och utjämning",14005
"Varberg","skatteintäkter",45066
"Varberg","generella statsbidrag och utjämning",7700
"Kungsbacka","skatteintäkter",55227
"Kungsbacka","generella statsbidrag och utjämning",3930
"Härryda","skatteintäkter",53088
"Härryda","generella statsbidrag och utjämning",5094
"Partille","skatteintäkter",49112
"Partille","generella statsbidrag och utjämning",5872
"Öckerö","skatteintäkter",53063
"Öckerö","generella statsbidrag och utjämning",6793
"Stenungsund","skatteintäkter",53417
"Stenungsund","generella statsbidrag och utjämning",5614
"Tjörn","skatteintäkter",54193
"Tjörn","generella statsbidrag och utjämning",3541
"Orust","skatteintäkter",52544
"Orust","generella statsbidrag och utjämning",9295
