"region","Nivå","X2019"
"Varberg","Kommun",20.33
"Varberg","Region",11.4
"Kungsbacka","Kommun",21.33
"Kungsbacka","Region",11.4
"Härryda","Kommun",20.62
"Härryda","Region",11.48
"Partille","Kommun",19.96
"Partille","Region",11.48
"Öckerö","Kommun",21.56
"Öckerö","Region",11.48
"Stenungsund","Kommun",21.64
"Stenungsund","Region",11.48
"Tjörn","Kommun",21.71
"Tjörn","Region",11.48
"Orust","Kommun",22.86
"Orust","Region",11.48
"Sotenäs","Kommun",21.99
"Sotenäs","Region",11.48
"Munkedal","Kommun",23.63
"Munkedal","Region",11.48
"Tanum","Kommun",21.56
"Tanum","Region",11.48
"Dals-Ed","Kommun",23.21
"Dals-Ed","Region",11.48
"Färgelanda","Kommun",22.26
"Färgelanda","Region",11.48
"Ale","Kommun",21.87
"Ale","Region",11.48
"Lerum","Kommun",20.65
"Lerum","Region",11.48
"Vårgårda","Kommun",21.61
"Vårgårda","Region",11.48
"Bollebygd","Kommun",21.59
"Bollebygd","Region",11.48
"Grästorp","Kommun",21.99
"Grästorp","Region",11.48
"Essunga","Kommun",21.57
"Essunga","Region",11.48
"Karlsborg","Kommun",21.32
"Karlsborg","Region",11.48
"Gullspång","Kommun",22.49
"Gullspång","Region",11.48
"Tranemo","Kommun",21.5
"Tranemo","Region",11.48
"Bengtsfors","Kommun",22.92
"Bengtsfors","Region",11.48
"Mellerud","Kommun",22.6
"Mellerud","Region",11.48
"Lilla Edet","Kommun",22.37
"Lilla Edet","Region",11.48
"Mark","Kommun",21.51
"Mark","Region",11.48
"Svenljunga","Kommun",22.25
"Svenljunga","Region",11.48
"Herrljunga","Kommun",21.94
"Herrljunga","Region",11.48
"Vara","Kommun",21.77
"Vara","Region",11.48
"Götene","Kommun",22.12
"Götene","Region",11.48
"Tibro","Kommun",21.21
"Tibro","Region",11.48
"Töreboda","Kommun",21.72
"Töreboda","Region",11.48
"Göteborg","Kommun",21.12
"Göteborg","Region",11.48
"Mölndal","Kommun",20.51
"Mölndal","Region",11.48
"Kungälv","Kommun",21.44
"Kungälv","Region",11.48
"Lysekil","Kommun",22.46
"Lysekil","Region",11.48
"Uddevalla","Kommun",22.16
"Uddevalla","Region",11.48
"Strömstad","Kommun",21.91
"Strömstad","Region",11.48
"Vänersborg","Kommun",22.21
"Vänersborg","Region",11.48
